pIC50,L1_MolWt,L1_MolLogP,L1_NumHDonors,L1_NumHAcceptors,L1_TPSA,L1_NumRotatableBonds,L1_NumAromaticRings,L1_NumAliphaticRings,L1_FractionCSP3,L1_HeavyAtomCount,L2_MolWt,L2_MolLogP,L2_NumHDonors,L2_NumHAcceptors,L2_TPSA,L2_NumRotatableBonds,L2_NumAromaticRings,L2_NumAliphaticRings,L2_FractionCSP3,L2_HeavyAtomCount,L3_MolWt,L3_MolLogP,L3_NumHDonors,L3_NumHAcceptors,L3_TPSA,L3_NumRotatableBonds,L3_NumAromaticRings,L3_NumAliphaticRings,L3_FractionCSP3,L3_HeavyAtomCount
6.18,-0.5476413819419064,-0.012650779641071433,0,-1.1422872209055512,-0.6495304003954522,-0.46122233129010937,-0.26432744018203497,0.0,0.0,-0.6060900559620275,0.0,0.0,0,-0.5197885340021011,0.0,-0.2790755001355615,-0.3478863853118359,0,0.0,-0.42260033167809685,0.0,0.0,0,-0.32297713622108165,0.0,-0.17149858514250885,-0.17149858514250885,0,0.0,-0.28712557153182633
6.55,-0.5476413819419064,-0.012650779641071433,0,-1.1422872209055512,-0.6495304003954522,-0.46122233129010937,-0.26432744018203497,0.0,0.0,-0.6060900559620275,0.0,0.0,0,-0.5197885340021011,0.0,-0.2790755001355615,-0.3478863853118359,0,0.0,-0.42260033167809685,0.0,0.0,0,-0.32297713622108165,0.0,-0.17149858514250885,-0.17149858514250885,0,0.0,-0.28712557153182633
6.12,-0.5476413819419064,-0.012650779641071433,0,-1.1422872209055512,-0.6495304003954522,-0.46122233129010937,-0.26432744018203497,0.0,0.0,-0.6060900559620275,0.0,0.0,0,-0.5197885340021011,0.0,-0.2790755001355615,-0.3478863853118359,0,0.0,-0.42260033167809685,0.0,0.0,0,-0.32297713622108165,0.0,-0.17149858514250885,-0.17149858514250885,0,0.0,-0.28712557153182633
5.87,-0.5476413819419064,-0.012650779641071433,0,-1.1422872209055512,-0.6495304003954522,-0.46122233129010937,-0.26432744018203497,0.0,0.0,-0.6060900559620275,0.0,0.0,0,-0.5197885340021011,0.0,-0.2790755001355615,-0.3478863853118359,0,0.0,-0.42260033167809685,0.0,0.0,0,-0.32297713622108165,0.0,-0.17149858514250885,-0.17149858514250885,0,0.0,-0.28712557153182633
6.46,-0.15000715455427147,-0.20141218005295738,0,0.14739189947168407,0.5264458724666335,-0.46122233129010937,-0.26432744018203497,0.0,0.0,-0.02089965710213931,0.0,0.0,0,-0.5197885340021011,0.0,-0.2790755001355615,-0.3478863853118359,0,0.0,-0.42260033167809685,0.0,0.0,0,-0.32297713622108165,0.0,-0.17149858514250885,-0.17149858514250885,0,0.0,-0.28712557153182633
5.82,-0.15000715455427147,-0.20141218005295738,0,0.14739189947168407,0.5264458724666335,-0.46122233129010937,-0.26432744018203497,0.0,0.0,-0.02089965710213931,0.0,0.0,0,-0.5197885340021011,0.0,-0.2790755001355615,-0.3478863853118359,0,0.0,-0.42260033167809685,0.0,0.0,0,-0.32297713622108165,0.0,-0.17149858514250885,-0.17149858514250885,0,0.0,-0.28712557153182633
6.11,-0.15000715455427147,-0.20141218005295738,0,0.14739189947168407,0.5264458724666335,-0.46122233129010937,-0.26432744018203497,0.0,0.0,-0.02089965710213931,0.0,0.0,0,-0.5197885340021011,0.0,-0.2790755001355615,-0.3478863853118359,0,0.0,-0.42260033167809685,0.0,0.0,0,-0.32297713622108165,0.0,-0.17149858514250885,-0.17149858514250885,0,0.0,-0.28712557153182633
5.98,-0.15000715455427147,-0.20141218005295738,0,0.14739189947168407,0.5264458724666335,-0.46122233129010937,-0.26432744018203497,0.0,0.0,-0.02089965710213931,0.0,0.0,0,-0.5197885340021011,0.0,-0.2790755001355615,-0.3478863853118359,0,0.0,-0.42260033167809685,0.0,0.0,0,-0.32297713622108165,0.0,-0.17149858514250885,-0.17149858514250885,0,0.0,-0.28712557153182633
5.87,-0.15000715455427147,-0.20141218005295738,0,0.14739189947168407,0.5264458724666335,-0.46122233129010937,-0.26432744018203497,0.0,0.0,-0.02089965710213931,0.0,0.0,0,-0.5197885340021011,0.0,-0.2790755001355615,-0.3478863853118359,0,0.0,-0.42260033167809685,0.0,0.0,0,-0.32297713622108165,0.0,-0.17149858514250885,-0.17149858514250885,0,0.0,-0.28712557153182633
6.75,-0.2932731290840588,-0.44571932921447477,1,0.14739189947168407,0.3504695996045478,-0.46122233129010937,-0.26432744018203497,0.0,0.0,-0.3134948565320834,0.0,0.0,0,-0.5197885340021011,0.0,-0.2790755001355615,-0.3478863853118359,0,0.0,-0.42260033167809685,0.0,0.0,0,-0.32297713622108165,0.0,-0.17149858514250885,-0.17149858514250885,0,0.0,-0.28712557153182633
